Date,Open,High,Low,Close,Volume,Adj Close
2007-10-01,152.60,157.52,148.66,154.65,177001000,135.98
2007-09-04,147.45,154.39,144.33,152.58,163177900,134.16
2007-08-01,145.18,150.59,137.00,147.59,277452000,129.16
2007-07-02,150.87,155.53,145.04,145.72,205031000,127.52
2007-06-01,153.88,154.40,148.06,150.43,176313600,131.64
2007-05-01,148.42,153.89,147.67,153.32,119229300,133.60
2007-04-02,142.16,149.80,141.48,148.29,94608200,129.21
2007-03-01,139.34,143.81,136.75,142.00,138477200,123.73
2007-02-01,144.15,146.42,139.00,140.93,88004400,122.31
2007-01-03,142.25,144.13,140.25,143.75,71109900,124.76
2006-12-01,140.53,143.24,138.97,141.62,62910900,122.91
2006-11-01,138.22,141.16,135.62,140.53,75526300,121.29
2006-10-02,133.54,139.00,132.65,137.79,68846200,118.93
2006-09-01,131.14,133.99,129.35,133.58,70582700,115.29
2006-08-01,127.34,131.04,126.28,130.64,63385000,112.26
2006-07-03,127.43,128.14,122.39,127.85,87044700,109.86
2006-06-01,127.38,129.43,122.34,127.28,100820700,109.37
2006-05-01,131.47,132.80,124.76,127.51,83621500,109.09
2006-04-03,130.07,131.86,128.02,131.47,71378000,112.48
2006-03-01,128.60,131.47,127.18,129.83,61465300,111.07
2006-02-01,127.82,130.04,125.40,128.23,64191500,109.27
2006-01-03,125.19,129.44,124.39,127.50,65342300,108.65
2005-12-01,126.02,128.09,124.36,124.51,53228200,106.10
2005-11-01,120.58,127.41,120.13,125.41,59035200,106.30
2005-10-03,122.96,123.34,116.88,120.13,88679300,101.83
2005-09-01,122.52,124.74,120.44,123.04,63563200,104.30
2005-08-01,123.83,124.74,120.38,122.58,61283000,103.47
2005-07-01,119.45,124.64,118.26,123.74,61933200,104.44
2005-06-01,119.52,121.94,118.75,119.18,52345900,100.60
2005-05-02,116.07,120.25,114.80,119.48,65620200,100.44
2005-04-01,118.63,119.26,113.55,115.75,82729100,97.31
2005-03-01,120.82,123.25,116.25,117.96,63414700,99.17
2005-02-01,118.25,121.67,118.10,120.63,57631000,101.01
2005-01-03,121.56,121.76,116.37,118.16,61837200,98.95
2004-12-01,118.16,121.66,117.73,120.87,42628100,101.21
2004-11-01,113.56,119.14,113.20,117.89,48346900,98.25
2004-10-01,112.26,114.68,109.35,113.20,52042400,94.07
2004-09-01,110.95,113.74,110.41,111.76,39734600,92.87
2004-08-02,110.19,111.63,106.59,111.11,43955300,91.95
2004-07-01,114.25,114.40,108.21,110.84,47438100,91.72
2004-06-01,112.46,114.94,111.87,114.53,36862400,94.78
2004-05-03,111.37,113.26,108.06,112.86,50222500,93.06
2004-04-01,113.07,115.41,110.90,110.96,48442900,91.49
2004-03-01,115.43,116.97,108.85,113.10,51022600,93.25
2004-02-02,113.70,116.60,112.78,115.02,37699400,94.51
2004-01-02,111.74,116.50,110.73,113.48,38432900,93.24
2003-12-01,106.85,111.52,105.96,111.28,32266000,91.43
2003-11-03,105.75,106.95,103.62,106.45,33745300,87.05
2003-10-01,100.24,105.97,100.20,105.30,37280900,86.11
2003-09-02,101.64,104.70,99.25,99.95,42346500,81.74
2003-08-01,99.19,101.82,96.34,101.44,38162300,82.64
2003-07-01,97.25,101.90,96.43,99.39,43190800,80.97
2003-06-02,97.53,102.18,96.67,97.63,42919900,79.53
2003-05-01,91.92,97.09,90.50,96.95,44478000,78.70
2003-04-01,85.25,92.80,84.91,91.91,49753400,74.61
2003-03-03,85.26,89.88,79.38,84.74,57999500,68.79
2003-02-03,86.14,86.81,81.00,84.90,47679700,68.64
2003-01-02,88.85,93.86,84.15,86.06,46030300,69.58
2002-12-02,95.47,96.05,87.11,88.23,36301000,71.33
2002-11-01,88.35,94.95,87.45,93.98,41881400,75.61
2002-10-01,82.43,91.29,77.07,88.52,60255100,71.22
2002-09-03,90.73,93.33,80.90,81.79,54346200,65.80
2002-08-01,90.88,97.15,83.55,91.78,43934400,73.51
2002-07-01,99.18,99.80,77.68,91.16,53132600,73.01
2002-06-03,107.09,107.60,95.19,98.96,28153300,79.26
2002-05-01,107.97,111.25,104.90,107.22,21475100,85.58
2002-04-01,114.23,115.10,106.63,107.86,19269700,86.09
2002-03-01,111.72,117.90,111.51,114.52,20155500,91.40
2002-02-01,113.09,113.30,107.82,111.15,23592000,88.46
2002-01-02,115.11,117.99,108.40,113.18,17585200,90.07
2001-12-03,113.65,118.00,112.00,114.30,16151100,90.97
2001-11-01,106.60,116.90,105.70,114.05,18390200,90.46
2001-10-01,103.90,111.79,102.83,105.80,23510200,83.91
2001-09-04,113.85,116.17,93.80,104.44,29389500,82.83
2001-08-01,121.97,123.25,112.04,114.15,12416700,90.20
2001-07-02,122.80,124.32,116.75,121.35,9943300,95.88
2001-06-01,126.20,129.23,120.40,122.60,10162000,96.87
2001-05-01,125.07,132.09,123.44,125.95,9905100,99.24
2001-04-02,116.30,127.27,109.30,126.66,13130300,99.80
2001-03-01,124.05,127.75,108.04,116.69,14880400,91.94
2001-02-01,137.10,137.99,121.80,123.95,10180600,97.40
2001-01-02,132.00,138.70,127.56,137.02,9095300,107.67
2000-12-01,133.19,139.56,125.53,131.19,8709500,103.09
2000-11-01,142.25,144.30,129.75,132.28,7995300,103.67
2000-10-02,144.28,145.75,130.16,142.95,8461100,112.03
2000-09-01,153.25,153.59,142.13,143.63,6126800,112.56
2000-08-01,143.63,153.09,142.63,152.34,4662100,119.09
2000-07-03,145.44,151.98,141.52,143.00,5602200,111.79
2000-06-01,143.69,149.16,143.00,145.28,6116600,113.57
2000-05-01,146.56,148.48,136.50,142.81,7594500,111.38
2000-04-03,150.13,153.11,133.50,145.09,12525700,113.15
2000-03-01,137.63,155.75,135.03,150.38,11167100,117.28
2000-02-01,139.75,144.56,132.72,137.44,9759000,106.92
2000-01-03,148.25,148.25,135.00,139.56,8376900,108.56
1999-12-01,139.31,147.56,139.00,146.88,5668200,114.26
1999-11-01,136.50,143.00,134.59,139.28,6320200,108.08
1999-10-01,127.94,137.69,123.44,137.00,9896000,106.31
1999-09-01,132.94,136.63,125.56,128.75,8355700,99.91
1999-08-02,132.75,138.78,127.00,132.06,7017200,102.20
1999-07-01,137.00,142.25,132.56,132.75,5793400,102.74
1999-06-01,130.13,137.50,128.02,137.00,8070300,106.03
1999-05-03,133.44,138.00,128.00,130.20,9565700,100.50
1999-04-01,129.69,137.50,128.13,133.25,7987900,102.85
1999-03-01,123.66,132.63,121.78,128.38,6765400,99.09
1999-02-01,128.69,128.84,121.33,123.56,9170800,95.12
1999-01-04,123.37,128.50,120.37,127.66,7782900,98.27
1998-12-01,116.12,124.75,113.75,123.31,7400700,94.92
1998-11-02,110.81,119.72,110.19,116.12,7253700,89.13
1998-10-01,100.03,110.91,92.22,110.00,11773800,84.43
1998-09-01,96.06,107.00,93.62,101.75,13203700,78.10
1998-08-03,111.78,112.42,95.00,96.00,13862100,73.43
1998-07-01,114.06,119.23,111.31,111.78,7407300,85.50
1998-06-01,108.97,114.69,107.50,113.31,6649000,86.67
1998-05-01,111.75,113.31,107.58,109.03,6051800,83.14
1998-04-01,110.31,113.44,107.62,111.34,6062500,84.90
1998-03-02,105.25,111.53,103.16,109.94,4238300,83.83
1998-02-02,99.91,105.53,99.72,105.12,3851400,79.90
1998-01-02,97.31,99.56,90.91,98.31,5411500,74.72
1997-12-01,96.22,99.00,92.37,97.06,3796400,73.77
1997-11-03,93.19,96.81,90.09,95.62,4985300,72.42
1997-10-01,95.25,98.50,84.37,92.06,6283100,69.72
1997-09-02,90.69,96.37,90.25,94.37,3941800,71.47
1997-08-01,95.50,96.62,89.34,90.37,4842800,68.19
1997-07-01,88.50,96.03,88.39,95.31,3068100,71.92
1997-06-02,85.34,90.50,84.08,88.31,2367400,66.64
1997-05-01,80.22,85.56,79.31,85.16,1886500,64.02
1997-04-01,75.25,80.69,73.31,80.09,2775000,60.21
1997-03-03,78.75,81.80,75.25,75.37,2089200,56.66
1997-02-03,78.72,82.00,77.12,79.16,1736300,59.25
1997-01-02,74.37,79.69,72.75,78.41,2128700,58.69
1996-12-02,75.92,76.58,71.87,73.84,1730000,55.27
1996-11-01,70.98,76.69,70.27,76.02,1258100,56.65
1996-10-01,68.70,71.62,68.44,70.84,674700,52.79
1996-09-03,64.47,69.25,64.37,68.62,889700,51.14
1996-08-01,64.16,67.34,64.06,65.33,777000,48.69
1996-07-01,67.28,67.70,60.38,64.09,1344400,47.76
1996-06-03,66.89,68.50,66.16,67.11,896600,50.01
1996-05-01,65.37,68.44,63.08,66.87,835300,49.59
1996-04-01,65.00,65.81,62.13,65.39,723000,48.49
1996-03-01,64.64,65.97,62.00,64.69,927600,47.97
1996-02-01,63.61,66.69,63.44,63.88,788200,47.14
1996-01-02,61.41,63.69,59.64,63.67,507200,46.98
1995-12-01,60.98,62.80,60.58,61.48,507800,45.37
1995-11-01,58.28,61.20,58.23,60.91,434600,44.72
1995-10-02,58.48,59.19,57.27,58.31,429600,42.81
1995-09-01,56.39,58.91,56.34,58.48,401900,42.93
1995-08-01,56.23,56.80,55.42,56.41,373500,41.19
1995-07-03,54.47,56.70,54.20,56.16,292500,41.01
1995-06-01,53.41,55.16,52.75,54.41,295600,39.73
1995-05-01,51.55,53.64,51.39,53.64,343200,38.95
1995-04-03,50.09,51.67,50.06,51.59,238200,37.46
1995-03-01,48.97,50.89,48.22,50.11,220800,36.38
1995-02-01,47.16,49.16,47.00,49.02,339300,35.37
1995-01-03,45.70,47.23,45.69,47.09,137800,33.98
1994-12-01,45.64,46.41,44.69,45.56,513200,32.88
1994-11-01,47.28,47.33,44.61,45.59,239300,32.69
1994-10-03,46.20,47.70,45.00,47.48,260600,34.04
1994-09-01,47.50,47.72,45.73,46.17,300600,33.10
1994-08-01,45.94,47.98,45.66,47.66,360900,33.75
1994-07-01,44.69,46.05,44.38,45.91,295500,32.51
1994-06-01,45.70,46.56,44.00,44.47,482900,31.49
1994-05-02,45.09,45.94,44.17,45.81,414500,32.23
1994-04-04,43.34,45.36,43.34,45.09,626800,31.72
1994-03-01,46.81,47.31,43.53,44.59,673600,31.37
1994-02-01,48.16,48.28,46.56,46.81,595100,32.74
1994-01-03,46.59,48.31,46.41,48.22,340500,33.72
1993-12-01,46.59,47.16,46.38,46.59,292700,32.58
1993-11-01,46.78,47.00,45.53,46.34,265700,32.21
1993-10-01,45.88,47.16,45.72,46.84,335800,32.56
1993-09-01,46.41,46.59,44.81,45.94,212800,31.93
1993-08-02,44.91,46.56,44.84,46.56,250300,32.17
1993-07-01,45.13,45.22,44.16,44.84,294900,30.98
1993-06-01,45.38,45.81,44.22,45.06,176100,31.13
1993-05-03,44.09,45.66,43.84,45.22,94300,31.05
1993-04-01,45.25,45.25,43.28,44.03,132600,30.23
1993-03-01,44.56,45.84,44.22,45.19,136100,31.03
1993-02-01,43.97,45.13,42.81,44.41,288600,30.26
1993-01-29,43.97,43.97,43.75,43.94,2006400,29.94
